value,name,key
apache-2.0,"Apache License, Version 2.0",1001
cddl,Common Development and Distribution License,2001
epl-1.0,Eclipse Public License 1.0,3001
gpl-2.0,"GNU General Public License, version 2",4001
lgpl-2.1,"GNU Lesser General Public License, version 2.1",5001
mit-license,MIT License,6001
